id,type,group,name
206,7,controller,r_pitch
207,7,controller,r_yaw
208,7,controller,accelz
209,7,controller,actuatorThrust
210,7,controller,roll
211,7,controller,pitch
212,7,controller,yaw
213,7,controller,rollRate
214,7,controller,pitchRate
215,7,controller,yawRate
216,7,mag,x
217,7,mag,y
218,7,mag,z
219,7,baro,asl
220,7,baro,temp
221,7,baro,pressure
222,7,acc,x
223,7,acc,y
224,7,acc,z
225,7,stabilizer,roll
226,7,stabilizer,pitch
227,7,stabilizer,yaw
228,7,stabilizer,thrust
229,7,stabilizer,rtStab
230,3,stabilizer,intToOut
231,5,ctrltargetZ,x
232,5,ctrltargetZ,y
233,5,ctrltargetZ,z
234,5,ctrltargetZ,vx
235,5,ctrltargetZ,vy
236,5,ctrltargetZ,vz
237,5,ctrltargetZ,ax
238,5,ctrltargetZ,ay
239,5,ctrltargetZ,az
240,7,ctrltarget,x
241,7,ctrltarget,y
242,7,ctrltarget,z
243,7,ctrltarget,vx
244,7,ctrltarget,vy
245,7,ctrltarget,vz
246,7,ctrltarget,ax
247,7,ctrltarget,ay
248,7,ctrltarget,az
249,7,ctrltarget,roll
250,7,ctrltarget,pitch
251,7,ctrltarget,yaw
252,2,supervisor,info
253,1,sys,canfly
254,1,sys,isFlying
255,1,sys,isTumbled
256,4,sys,testLogParam
257,7,tdoaEngine,stRx
258,7,tdoaEngine,stEst
259,7,tdoaEngine,stTime
260,7,tdoaEngine,stFound
261,7,tdoaEngine,stCc
262,7,tdoaEngine,stHit
263,7,tdoaEngine,stMiss
264,7,tdoaEngine,cc
265,2,tdoaEngine,tof
266,7,tdoaEngine,tdoa
267,7,kalman_pred,predNX
268,7,kalman_pred,predNY
269,7,kalman_pred,measNX
270,7,kalman_pred,measNY
271,1,lighthouse,validAngles
272,7,lighthouse,rawAngle0x
273,7,lighthouse,rawAngle0y
274,7,lighthouse,rawAngle1x
275,7,lighthouse,rawAngle1y
276,7,lighthouse,angle0x
277,7,lighthouse,angle0y
278,7,lighthouse,angle1x
279,7,lighthouse,angle1y
280,7,lighthouse,angle0x_1
281,7,lighthouse,angle0y_1
282,7,lighthouse,angle1x_1
283,7,lighthouse,angle1y_1
284,7,lighthouse,angle0x_2
285,7,lighthouse,angle0y_2
286,7,lighthouse,angle1x_2
287,7,lighthouse,angle1y_2
288,7,lighthouse,angle0x_3
289,7,lighthouse,angle0y_3
290,7,lighthouse,angle1x_3
291,7,lighthouse,angle1y_3
292,7,lighthouse,rawAngle0xlh2
293,7,lighthouse,rawAngle0ylh2
294,7,lighthouse,rawAngle1xlh2
295,7,lighthouse,rawAngle1ylh2
296,7,lighthouse,angle0x_0lh2
297,7,lighthouse,angle0y_0lh2
298,7,lighthouse,angle1x_0lh2
299,7,lighthouse,angle1y_0lh2
300,2,lighthouse,width0
301,2,lighthouse,width1
302,2,lighthouse,width2
303,2,lighthouse,width3
304,1,lighthouse,comSync
305,2,lighthouse,bsAvailable
306,2,lighthouse,bsReceive
307,2,lighthouse,bsActive
308,2,lighthouse,bsCalUd
309,2,lighthouse,bsCalCon
310,1,lighthouse,status
311,7,lighthouse,posRt
312,7,lighthouse,estBs0Rt
313,7,lighthouse,estBs1Rt
314,7,lighthouse,x
315,7,lighthouse,y
316,7,lighthouse,z
317,7,lighthouse,delta
318,2,lighthouse,bsGeoVal
319,2,lighthouse,bsCalVal
320,7,lighthouse,disProb
321,7,pid_rate,roll_outP
322,7,pid_rate,roll_outI
323,7,pid_rate,roll_outD
324,7,pid_rate,roll_outFF
325,7,pid_rate,pitch_outP
326,7,pid_rate,pitch_outI
327,7,pid_rate,pitch_outD
328,7,pid_rate,pitch_outFF
329,7,pid_rate,yaw_outP
330,7,pid_rate,yaw_outI
331,7,pid_rate,yaw_outD
332,7,pid_rate,yaw_outFF
333,7,pid_attitude,roll_outP
334,7,pid_attitude,roll_outI
335,7,pid_attitude,roll_outD
336,7,pid_attitude,roll_outFF
337,7,pid_attitude,pitch_outP
338,7,pid_attitude,pitch_outI
339,7,pid_attitude,pitch_outD
340,7,pid_attitude,pitch_outFF
341,7,pid_attitude,yaw_outP
342,7,pid_attitude,yaw_outI
343,7,pid_attitude,yaw_outD
344,7,pid_attitude,yaw_outFF
345,7,ctrlINDI,cmd_thrust
346,7,ctrlINDI,cmd_roll
347,7,ctrlINDI,cmd_pitch
348,7,ctrlINDI,cmd_yaw
349,7,ctrlINDI,r_roll
350,7,ctrlINDI,r_pitch
351,7,ctrlINDI,r_yaw
352,7,ctrlINDI,u_act_dyn_p
353,7,ctrlINDI,u_act_dyn_q
354,7,ctrlINDI,u_act_dyn_r
355,7,ctrlINDI,du_p
356,7,ctrlINDI,du_q
357,7,ctrlINDI,du_r
358,7,ctrlINDI,ang_accel_ref_p
359,7,ctrlINDI,ang_accel_ref_q
360,7,ctrlINDI,ang_accel_ref_r
361,7,ctrlINDI,rate_d[0]
362,7,ctrlINDI,rate_d[1]
363,7,ctrlINDI,rate_d[2]
364,7,ctrlINDI,uf_p
365,7,ctrlINDI,uf_q
366,7,ctrlINDI,uf_r
367,7,ctrlINDI,Omega_f_p
368,7,ctrlINDI,Omega_f_q
369,7,ctrlINDI,Omega_f_r
370,7,ctrlINDI,n_p
371,7,ctrlINDI,n_q
372,7,ctrlINDI,n_r
373,7,ctrlMel,cmd_thrust
374,7,ctrlMel,cmd_roll
375,7,ctrlMel,cmd_pitch
376,7,ctrlMel,cmd_yaw
377,7,ctrlMel,r_roll
378,7,ctrlMel,r_pitch
379,7,ctrlMel,r_yaw
380,7,ctrlMel,accelz
381,7,ctrlMel,zdx
382,7,ctrlMel,zdy
383,7,ctrlMel,zdz
384,7,ctrlMel,i_err_x
385,7,ctrlMel,i_err_y
386,7,ctrlMel,i_err_z
387,7,posCtrlIndi,posRef_x
388,7,posCtrlIndi,posRef_y
389,7,posCtrlIndi,posRef_z
390,7,posCtrlIndi,velS_x
391,7,posCtrlIndi,velS_y
392,7,posCtrlIndi,velS_z
393,7,posCtrlIndi,velRef_x
394,7,posCtrlIndi,velRef_y
395,7,posCtrlIndi,velRef_z
396,7,posCtrlIndi,angS_roll
397,7,posCtrlIndi,angS_pitch
398,7,posCtrlIndi,angS_yaw
399,7,posCtrlIndi,angF_roll
400,7,posCtrlIndi,angF_pitch
401,7,posCtrlIndi,angF_yaw
402,7,posCtrlIndi,accRef_x
403,7,posCtrlIndi,accRef_y
404,7,posCtrlIndi,accRef_z
405,7,posCtrlIndi,accS_x
406,7,posCtrlIndi,accS_y
407,7,posCtrlIndi,accS_z
408,7,posCtrlIndi,accF_x
409,7,posCtrlIndi,accF_y
410,7,posCtrlIndi,accF_z
411,7,posCtrlIndi,accFT_x
412,7,posCtrlIndi,accFT_y
413,7,posCtrlIndi,accFT_z
414,7,posCtrlIndi,accErr_x
415,7,posCtrlIndi,accErr_y
416,7,posCtrlIndi,accErr_z
417,7,posCtrlIndi,phi_tilde
418,7,posCtrlIndi,theta_tilde
419,7,posCtrlIndi,T_tilde
420,7,posCtrlIndi,T_inner
421,7,posCtrlIndi,T_inner_f
422,7,posCtrlIndi,T_incremented
423,7,posCtrlIndi,cmd_phi
424,7,posCtrlIndi,cmd_theta
425,7,posCtl,targetVX
426,7,posCtl,targetVY
427,7,posCtl,targetVZ
428,7,posCtl,targetX
429,7,posCtl,targetY
430,7,posCtl,targetZ
431,7,posCtl,bodyVX
432,7,posCtl,bodyVY
433,7,posCtl,bodyX
434,7,posCtl,bodyY
435,7,posCtl,Xp
436,7,posCtl,Xi
437,7,posCtl,Xd
438,7,posCtl,Xff
439,7,posCtl,Yp
440,7,posCtl,Yi
441,7,posCtl,Yd
442,7,posCtl,Yff
443,7,posCtl,Zp
444,7,posCtl,Zi
445,7,posCtl,Zd
446,7,posCtl,Zff
447,7,posCtl,VXp
448,7,posCtl,VXi
449,7,posCtl,VXd
450,7,posCtl,VXff
451,7,posCtl,VYp
452,7,posCtl,VYi
453,7,posCtl,VYd
454,7,posCtl,VYff
455,7,posCtl,VZp
456,7,posCtl,VZi
457,7,posCtl,VZd
458,7,posCtl,VZff
459,7,ctrlLee,KR_x
460,7,ctrlLee,KR_y
461,7,ctrlLee,KR_z
462,7,ctrlLee,Kw_x
463,7,ctrlLee,Kw_y
464,7,ctrlLee,Kw_z
465,7,ctrlLee,Kpos_Px
466,7,ctrlLee,Kpos_Py
467,7,ctrlLee,Kpos_Pz
468,7,ctrlLee,Kpos_Dx
469,7,ctrlLee,Kpos_Dy
470,7,ctrlLee,Kpos_Dz
471,7,ctrlLee,thrustSi
472,7,ctrlLee,torquex
473,7,ctrlLee,torquey
474,7,ctrlLee,torquez
475,7,ctrlLee,rpyx
476,7,ctrlLee,rpyy
477,7,ctrlLee,rpyz
478,7,ctrlLee,rpydx
479,7,ctrlLee,rpydy
480,7,ctrlLee,rpydz
481,7,ctrlLee,error_posx
482,7,ctrlLee,error_posy
483,7,ctrlLee,error_posz
484,7,ctrlLee,error_velx
485,7,ctrlLee,error_vely
486,7,ctrlLee,error_velz
487,7,ctrlLee,omegax
488,7,ctrlLee,omegay
489,7,ctrlLee,omegaz
490,7,ctrlLee,omegarx
491,7,ctrlLee,omegary
492,7,ctrlLee,omegarz
493,2,ae483log,num_tof
494,2,ae483log,num_flow
495,7,ae483log,p_x
496,7,ae483log,p_y
497,7,ae483log,p_z
498,7,ae483log,psi
499,7,ae483log,theta
500,7,ae483log,phi
501,7,ae483log,v_x
502,7,ae483log,v_y
503,7,ae483log,v_z
504,7,ae483log,w_x
505,7,ae483log,w_y
506,7,ae483log,w_z
507,7,ae483log,p_x_des
508,7,ae483log,p_y_des
509,7,ae483log,p_z_des
510,7,ae483log,tau_x
511,7,ae483log,tau_y
512,7,ae483log,tau_z
513,7,ae483log,f_z
514,2,ae483log,m_1
515,2,ae483log,m_2
516,2,ae483log,m_3
517,2,ae483log,m_4
518,7,ae483log,tau_x_cmd
519,7,ae483log,tau_y_cmd
520,7,ae483log,n_x
521,7,ae483log,n_y
522,7,ae483log,r
523,7,ae483log,a_z
524,7,ae483log,p_x_mocap
525,7,ae483log,p_y_mocap
526,7,ae483log,p_z_mocap
527,7,ae483log,psi_mocap
528,7,ae483log,theta_mocap
529,7,ae483log,phi_mocap
530,6,outlierf,lhWin
531,7,kalman,stateX
532,7,kalman,stateY
533,7,kalman,stateZ
534,7,kalman,statePX
535,7,kalman,statePY
536,7,kalman,statePZ
537,7,kalman,stateD0
538,7,kalman,stateD1
539,7,kalman,stateD2
540,7,kalman,varX
541,7,kalman,varY
542,7,kalman,varZ
543,7,kalman,varPX
544,7,kalman,varPY
545,7,kalman,varPZ
546,7,kalman,varD0
547,7,kalman,varD1
548,7,kalman,varD2
549,7,kalman,q0
550,7,kalman,q1
551,7,kalman,q2
552,7,kalman,q3
553,7,kalman,rtUpdate
554,7,kalman,rtPred
555,7,kalman,rtFinal
556,7,estimator,rtApnd
557,7,estimator,rtRej
558,7,posEstAlt,estimatedZ
559,7,posEstAlt,estVZ
560,7,posEstAlt,velocityZ
561,1,DTR_P2P,rx_state
562,1,DTR_P2P,tx_state
